id,name,author,season,chapters,state,genrer,year,next_chapter,last_chapter
1,Naruto,Masashi Ueda,,,Finalizado,Action/Fighting,2002,,
4,Saint Seiya,Masami Kurumada,,,Finalizado,Action/Fighting,1986,,
289,Tenkou no Scaflowne,An author,1,26,,Mecha,,,
509,Dragon Ball,Akira Toriyama,,153,Finalizado,Action/Fighting,1986,,
3678,Boku no hero academia,An author,6,23,En emisión,Action/Fighting,2023,2023-03-18,
3679,Usaki chan wo asobitai Double,An author,2,13,,Comedy,,,2022-12-24
3701,Blue lock,An author,1,23,En emisión,Sport,2022,2023-03-18,
3703,Yowamushi Pedal: Limit break,An author,5,23,En emisión,Sport,2022,2023-03-25,
3718,An anime,An author,,,,,,,
3731,Isekai Nonbiri Nouka,An author,1,11,En emisión,Farming,2023,2023-03-16,
3736,Trigan Stampede,An author,1,11,En emisión,Drama,2023,2023-03-18,
3740,Tokyo Revengers: Seiya Kessen-hen,An author,2,11,En emisión,Scholar,2023,2023-03-18,
3741,Saikyou onmyouji no isekai,An author,2,11,En emisión,,,2023-03-25,
3744,Rougo ni sonaete isekai de 8 manmai,An author,1,10,En emisión,Isekai,2023,2023-03-18,
